muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
435,17.4,-1424657,-294.743224581818,87,-,induccion,-,-
436,17.44,-1425209,-420.16630764351316,87,-,induccion,-,-
437,17.48,-1426026,-318.47642152390085,87,-,induccion,-,-
438,17.52,-1426536,-269.73728646481413,87,-,induccion,-,-
439,17.56,-1426877,-341.06122175539315,87,-,mantenimiento,-,-
440,17.6,-1420275,-650.1434583624414,87,-,mantenimiento,-,-
441,17.64,-1416296,-784.0959464040707,87,-,mantenimiento,-,-
442,17.68,-1416906,-661.2661665730425,87,-,mantenimiento,-,-
443,17.72,-1417447,-475.7795470726271,87,-,mantenimiento,-,-
444,17.76,-1417140,-298.660360136698,87,-,mantenimiento,-,-
445,17.8,-1417765,-98.0943290232949,87,-,mantenimiento,-,-
446,17.84,-1418201,92.22844477171498,87,-,mantenimiento,-,-
447,17.88,-1417693,293.98190219281423,87,-,mantenimiento,-,-
